ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
guaj1256,Guajá,,-3.93574,-46.3683,guaj1256,gvj
guaj1257,Guajiro-Paraujano,,,,guaj1257,
guan1269,Kotiria,,1.07554,-69.5705,guan1269,gvc
guan1270,Kinikinao,,-19.1667,-54.0333,guan1270,gqn
guan1279,Guangzhou,,23.1253503,112.9476548,guan1279,
guar1292,Guarayu,,-15.8247,-61.6934,guar1292,gyr
guda1244,Gudang,,-10.91613599,142.5768928,guda1244,xgd
gudj1237,Gudjal,,-19.44157406,144.6482584,gudj1237,
guga1239,Gugadj,,-17.8372,141.168,guga1239,ggd
gugu1253,Gugu Badhun,,-18.4921,144.46,gugu1253,gdc
gugu1254,Gugubera,,-15.4296,141.635,gugu1254,kkp
gugu1255,Guugu Yimidhirr,,-14.9424,144.831,gugu1255,kky
gugu1256,Roth's Gugu Warra,,-12.713,142.569,gugu1256,wrw
gugu1257,Gugu Mini,,,,gugu1257,ggm
guin1258,Guinau,,4.797607,-64.73877,guin1258,
guja1252,Gujarati,,22.687,71.0962,guja1252,guj
guma1253,Gumatj,,-12.25254,136.83042,guma1253,gnn
gung1248,Gungabula,,-25.6896,148.604,gung1248,gyf
gunm1237,Gunma,,,,gunm1237,
guny1241,Gunya,,-27.0642,145.862,guny1241,gyy
gupa1247,Gupapuyngu,,-12.2868,135.337,gupa1247,guf
gurd1238,Gurdjar,,-17.1653,141.145,gurd1238,gdj
gure1255,Gureng Gureng,,-25.3893,151.175,gure1255,gnr
guri1247,Gurindji,,-17.0329,130.379,guri1247,gue
guru1261,Gurung,,27.41687,86.28988,guru1261,gvr
gusi1247,Gusii,,-0.78872,34.76751,gusi1247,guz
guwa1242,Guwa,,-21.35147706,142.5243782,guwa1242,xgw
guwa1243,Guwamu,,-27.8289,148.867,guwa1243,gwu
guwa1244,Guwar,,-27.16698973,153.3998245,guwa1244,
guya1249,Guyani,,-34.739,137.661,guya1249,gvy
gwen1239,Gweno,,-3.68407,37.6827,gwen1239,gwe
gwer1238,Gwere,,1.11392,33.8227,gwer1238,gwr
gwic1235,Gwich'in,,67.4307,-142.963,gwic1235,gwi
gyet1240,,,,,gyet1240,
haaa1252,Ha,,-3.77873,30.4894,haaa1252,haq
hach1239,Hachijo,,33.109444,139.791389,hach1239,
haka1240,Haka Chin,,22.8735,92.8208,haka1240,cnh
hakk1236,Hakka Chinese,,25.0,116.0,hakk1236,hak
hamg1238,Hamgyongdo,,42.34,129.84,hamg1238,
hang1260,Hangaza,,-2.52347,30.7074,hang1260,han
hani1248,Hani,,22.67753,102.851673333,hani1248,hni
hann1241,Han,,64.5002,-140.352,hann1241,haa
hano1246,Hano,,-15.5432,168.167,hano1246,lml
hanu1241,Hanunoo,,12.4159,121.221,hanu1241,hnn
hara1271,Harari,,9.30485,42.1332,hara1271,har
hars1241,Harsusi,,19.6511,56.1562,hars1241,hss
hate1238,Hateruma,,,,hate1238,
hawa1245,Hawaiian,,19.6297,-155.43,hawa1245,haw
haya1250,Haya,,-1.70878,31.4846,haya1250,hay
hebr1245,Modern Hebrew,,31.1056,35.0179,hebr1245,heb
hehe1240,Hehe,,-7.71572,35.7255,hehe1240,heh
here1253,Herero,,-21.0231,20.5655,here1253,her
hier1240,Hieroglyphic Luwian,,40.019722,34.615278,hier1240,hlu
high1278,Highland Puebla Nahuatl,,20.1554,-97.5556,high1278,azz
hind1269,Hindi,,25.0,77.0,hind1269,hin
hiro1237,Hiroshima,,,,hiro1237,
hitt1242,Hittite,,40.0,35.0,hitt1242,hit
hoav1238,Hoava,,-8.19679,157.595,hoav1238,hoa
holi1241,Holikachuk,,62.7266,-159.831,holi1241,hoi
holo1240,Holoholo,,-5.37545,28.3274,holo1240,hoo
holu1245,Holu,,-8.14754,17.572,holu1245,hol
homa1239,Homa,,4.97912,28.0039,homa1239,hom
honi1244,Honi,,23.2074,101.886,honi1244,how
hopi1249,Hopi,,35.7653,-110.535,hopi1249,hop
horp1239,Stau-Dgebshes,,31.1026,101.72,horp1239,ero
horp1240,Horpa,,,,horp1240,
huar1255,Huarijio,,27.8685,-108.437,huar1255,var
huas1242,Huastec,,21.6153,-98.5028,huas1242,hus
huic1243,Huichol,,21.954,-104.062,huic1243,hch
hung1274,Hungarian,,46.9068585714,19.6555271429,hung1274,hun
hung1278,Hungana-Saamba,,-3.69695,18.4312,hung1278,hum
hupa1239,Hupa,,41.0982,-123.68,hupa1239,hup
hwan1238,Hwanghaedo,,38.29,125.47,hwan1238,
iaai1238,Iaai,,-20.6301,166.59,iaai1238,iai
ibal1241,Ibali Teke,,-4.20697,15.3893,ibal1241,tek
ibal1244,Ibaloi,,16.4263,120.695,ibal1244,ibl
iban1264,Iban,,2.09041,112.934,iban1264,iba
iban1267,Ibanag,,17.4201,121.891,iban1267,ibg
ibar1242,Ibaraki,,,,ibar1242,
ibat1238,Ibatan,,18.9398,121.909,ibat1238,ivb
icel1247,Icelandic,,63.4837,-19.0212,icel1247,isl
idaa1241,Ida'an,,5.29059,118.515,idaa1241,dbj
idum1241,Idu,,29.4473,95.6472,idum1241,clk
igna1246,Ignaciano,,-15.1188,-65.3993,igna1246,ign
ikiz1238,Ikizu,,-1.9915,34.3589,ikiz1238,ikz
ikom1245,Ikoma-Nata,,-1.94989,34.5361,ikom1245,ntk
ilia1236,Ilianen Manobo,,7.34448,124.766,ilia1236,mbi
iliu1237,Ili'uun,,-7.84385,125.902,iliu1237,ilu
ilok1237,Iloko,,15.9361,120.993,ilok1237,ilo
ilon1239,Ilongot,,16.3785,121.547,ilon1239,ilk
ilwa1237,Ilwana,,-0.66322,39.793,ilwa1237,mlk
imro1237,Imroing,,-7.96772,129.651,imro1237,imr
inab1237,Inabaknon,,12.4264,124.166,inab1237,abx
inap1243,Iñapari,,-12.4653,-69.3083,inap1243,inp
